matchup_id,away_team,home_team,spread,
1,NE,SEA,SEA -3.5,
2,SF,LAR,LAR -3.5,
3,TB,CIN,CIN -3.5,
4,NO,DET,DET -6.5,
5,NYJ,TEN,TEN -1.5,
6,BAL,IND,BAL -3.5,
7,ATL,PIT,PIT -3.5,
8,CHI,CAR,CHI -2.5,
9,CLE,JAX,JAX -8.5,
10,BUF,HOU,BUF -1,
11,MIA,LV,LV -3.5,
12,GB,MIN,MIN -1.5,
13,WAS,PHI,PHI -5,
14,ARI,LAC,LAC -10,
15,DAL,NYG,DAL -2.5,
16,DEN,KC,KC -3,
